Id,Label,month
2024-04-11_73.txt,"Israel’s war on Gaza updates: Famine already in north Gaza, says US",4
2024-04-10_83.txt,Israel’s war on Gaza updates: Hamas chief’s sons killed in Israeli attack,4
2023-10-13_3174.txt,Israel-Hamas updates: Thousands flee as Israel starts ground raids in Gaza,10
2024-04-12_65.txt,Israel’s war on Gaza updates: One dead as settlers rampage in West Bank,4
2024-03-07_834.txt,Israel’s war on Gaza live: US to build port as Israel blocks aid via roads,3
2024-02-28_923.txt,Israel’s war on Gaza updates: 6 children die of malnutrition in north Gaza,2
2024-03-18_330.txt,"Is­rael’s war on Gaza: List of key events, day 164",3
2024-04-03_163.txt,"Israel’s war on Gaza: List of key events, day 180",4
2024-04-01_194.txt,"Israel’s war on Gaza: List of key events, day 178",4
2024-03-25_265.txt,"Is­rael’s war on Gaza: List of key events, day 171",3
2024-04-08_101.txt,"Israel’s war on Gaza: List of key events, day 185",4
2023-04-11_3631.txt,History Illustrated: The war on Al-Aqsa,4
2023-10-11_3217.txt,History Illustrated: The story of Hamas and its fight for Palestine,10
2023-07-07_3444.txt,History Illustrated: The Jenin refugee camp story,7
2023-05-15_3564.txt,Ethnic cleansing in Palestine,5
2023-10-27_2801.txt,"The Gaza Strip: Under siege, at war with Israel",10
2023-10-16_3087.txt,History Illustrated: The war on Al-Aqsa redux,10
2023-11-09_2459.txt,The war on Gaza: A masterclass in disinformation,11
2023-12-08_1869.txt,The first Intifada against Israel,12
2023-11-27_2067.txt,"Israel, Hamas and the toil of the prisoner exchange",11
2024-01-23_1305.txt,"Israel, Gaza, Germany and the genocide in Namibia",1
2024-02-20_1013.txt,ICJ hearings on Israel’s occupation of Palestine updates: Day two,2
2024-02-27_937.txt,Israel’s war on Gaza updates: Looming famine could ‘kill thousands’ in days,2
2024-01-06_1492.txt,Israel war on Gaza updates: Children dying ‘in every possible way’,1
2024-01-07_1481.txt,Israel war on Gaza updates: Condemnation after Israel kills 2 journalists,1
2024-03-04_866.txt,Israel’s war on Gaza updates: Sexual violence no excuse for more violence,3
2024-02-29_908.txt,Israel’s war on Gaza updates: ‘Life draining out of Gaza’-UN on aid attack,2
2024-03-03_874.txt,Israel’s war on Gaza updates: Israel again attacks aid seekers in Gaza City,3
2024-03-05_859.txt,Israel’s war on Gaza updates: Israel kills three as US envoy visits Beirut,3
2024-03-01_899.txt,Israel’s war on Gaza updates: Biden says US will air drop aid to enclave,3
2024-03-14_359.txt,Israel’s war on Gaza updates: At least 21 killed in attack on aid seekers,3
2023-10-30_2741.txt,Israel-Hamas war updates: Netanyahu rejects ceasefire after captive video,10
2023-10-27_2821.txt,Israel-Hamas war updates: Israeli ground forces expanding Gaza operations,10
2023-10-26_2844.txt,Israel-Hamas war updates: Names of Palestinians killed in Gaza released,10
2023-10-31_2708.txt,"Israel-Hamas war updates: Dozens killed in Jabalia camp, Gaza official says",10
2023-10-23_2894.txt,"Israel-Hamas war updates: WHO urges fuel, healthcare deliveries to Gaza",10
2023-10-10_3233.txt,Israel-Hamas war updates: Hamas claims release of woman and children,10
2023-10-09_3270.txt,Israel-Hamas war updates: Israeli bombing rocks Gaza through the night,10
2023-11-09_2473.txt,Israel-Hamas war updates: Israeli attacks hit children’s hospital in Gaza,11
2023-10-19_2985.txt,Israel-Gaza war updates: Biden welcomes release of US captives from Gaza,10
2023-10-28_2762.txt,Israel-Hamas war updates: Israel bombs areas near Gaza’s Al-Quds Hospital,10
2023-11-12_2393.txt,Israel-Hamas war updates: Snipers targeting those sheltering in al-Shifa,11
2023-11-13_2379.txt,Israel-Hamas war updates: Palestinians killed in Israeli attack on Jabalia,11
2023-11-27_2075.txt,"Israel-Hamas war updates: 33 Palestinians, 11 Israelis released",11
